TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,SW_OUT,LW_IN,LW_OUT,NETRAD,VPD,RH,PA,TA,P,TS_1,TS_2,TS_3,TS_4,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,SW_OUT_F,LW_IN_F,LW_OUT_F,NETRAD_F,VPD_F,RH_F,PA_F,TA_F,P_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20140903,3.81075,-10.153713,28.177833333333336,68.56645999999999,0.18105283958333326,28.04358554166667,1.5237074583333332,367.7645625,387.16416666666646,11.699416666666664,1.196639566549348,90.7703125,97.24496875,10.640347708333332,0.4,10.100454166666664,9.840987499999997,9.147060416666667,8.832172499999997,2.154515416666666,4.384002083333333,1.3936714166666666,2.9684229166666682,253.52337916666667,1.654305,2.229495416666666,-18.83674020833334,36.64383333333335,53.28289374999998,29.187541666666664,1.5237074583333332,367.7645625,387.16416666666646,11.699416666666664,1.1978958333333332,90.7703125,97.24502083333334,10.640333333333333,0.4,1.6543333333333334,39.29615559397768,1.3010605400010635,86.94598205365264,1.0
20140904,-2.1692052631578957,8.578196774193543,96.39444000000002,84.54510846153849,0.4074736208333334,126.3142144166667,7.907765979166667,347.30369767441863,386.9753488372094,68.02118749999998,1.6271073870651598,87.45689583333336,97.12429166666668,10.547416666666667,0.2,10.295979166666667,9.944166666666666,9.238054166666664,8.82731791666667,4.797461791666665,4.66734375,4.0241893125,3.5106291666666665,281.231125,4.473997708333332,-0.13014041666666654,-0.4717375000000004,76.37856250000002,64.43281875,127.63966666666668,7.907765979166667,345.6472291666668,387.02270833333336,68.02118749999998,1.6287708333333326,87.45689583333336,97.1243125,10.547479166666667,0.2,4.473979166666666,73.65054590222559,-0.3858594362564907,78.6971526393718,1.0
20140905,0.14373161290322578,-11.932554193548384,38.855875,58.861731111111105,0.3227758791666668,48.71094531250001,2.357864520833333,349.42379166666666,379.87125,19.398166666666672,1.7282156538395796,85.31091666666667,97.22891875,9.292709791666667,0.0,9.687368750000003,9.739452083333337,9.30565208333333,8.833278958333333,3.4990004166666666,4.342297916666666,2.533773333333333,3.4898312500000013,293.44533333333334,3.701685833333334,0.8433002083333335,-17.42004541666666,39.71802083333335,60.77116875000002,49.6894375,2.357864520833333,349.42379166666666,379.87125,19.398166666666672,1.7298333333333331,85.31091666666667,97.22889583333334,9.292708333333334,0.0,3.7016458333333326,40.38903837433818,0.6501373213420719,68.63861222906235,1.0
20140906,-2.260553333333333,9.5458375,35.896675,95.33822,0.1382111229166667,124.1857561875,7.9991855604166675,326.83156250000013,379.6350000000001,55.92183333333333,2.5573057658870058,79.65279166666666,97.4566625,9.30811395833333,0.0,9.777677083333334,9.638029166666668,9.21396666666667,8.840154375000003,3.8429204166666655,4.1609124999999985,3.1257685416666674,2.7414270833333334,257.0340333333333,1.6053328750000002,0.31798125000000016,-10.814768750000004,53.778925,70.34439583333337,125.1708125,7.9991855604166675,326.83156250000013,379.6350000000001,55.92183333333333,2.5597708333333338,79.65279166666666,97.45666666666666,9.308125,0.0,1.6053541666666669,52.21755454984338,0.2864640452109763,84.71852793486781,1.0
20140907,-3.319905555555555,24.975789473684202,48.11725263157894,123.32535882352943,0.1857412875,77.12470658333334,4.531468645833335,340.7911041666668,380.1112499999999,34.95370833333333,1.8188002460629809,85.25860416666667,97.41485624999996,9.382236666666667,0.0,9.495604166666665,9.439664583333332,9.159456249999998,8.829111875,3.9250314583333337,4.048679166666665,2.5512943333333333,2.7563604166666664,261.82552083333337,2.214066729166667,0.12366218750000008,-14.914604166666665,46.4046625,86.6313541666667,78.20610416666666,4.531468645833335,340.7911041666668,380.1112499999999,34.95370833333333,1.8205625000000003,85.25860416666667,97.4148125,9.382208333333333,0.0,2.2140416666666667,43.846778795485925,-0.11597910009230745,95.63405425596822,1.0
20140908,-0.006867400000000027,8.11270533333333,90.27160869565216,0.7502400000000001,0.2628625520833334,117.78845041666666,6.174144312500002,319.4476041666666,375.974375,59.37624999999998,1.8755160240098967,85.04735416666666,97.27891041666668,8.315488125000002,0.2,8.557181249999998,8.882672916666666,9.016252083333333,8.808661875000002,2.8267450000000003,3.737600000000001,2.971217291666667,3.213397916666667,141.79997916666662,4.164781354166667,0.9108538235416668,-16.74941620833334,59.15240625000001,28.72765806249999,119.20266666666664,6.174144312500002,319.4476041666666,375.974375,59.37624999999998,1.8774166666666667,85.04735416666666,97.27889583333337,8.315520833333334,0.2,4.164770833333335,62.412585639715935,1.04459811745097,42.86017297911939,1.0
20140909,0.7864874999999998,-8.824216666666667,38.27313333333333,40.417756666666655,0.23368981875000006,74.21974925,3.9439398875000014,356.85665957446815,382.58468085106387,37.88570833333335,1.0662704146350035,91.5455,96.73556874999998,9.985233125000002,1.6,9.664566666666667,9.283991666666664,8.852295833333333,8.766853124999999,3.227727083333335,3.9142041666666674,2.6718904166666677,3.4889979166666665,204.71510208333333,2.8867259375,0.6864572500000001,-18.768658958333337,50.101075,61.111658333333324,75.096125,3.9439398875000014,357.24718750000005,382.5383333333335,37.88570833333335,1.067395833333333,91.5455,96.73554166666668,9.9851875,1.6,2.8866666666666667,39.97387084145788,0.857150511522855,54.48113281529775,1.0
20140910,0.04269000000000001,-7.436377187499999,47.49842857142857,59.508481999999994,0.3480278958333334,54.10161752083332,2.4928958541666675,357.93031250000007,381.26583333333326,27.558562500000004,1.9868939312438068,84.42258333333334,97.14636041666668,10.115238958333334,0.0,9.710495833333333,9.532358333333336,8.980170833333334,8.713554375,3.0566143750000005,3.811741666666665,2.5494211875,3.269831250000001,290.6085208333334,3.9051345833333335,0.7551303124999998,-18.405813958333336,46.99002083333334,58.181000000000026,54.97756249999998,2.4928958541666675,357.93031250000007,381.26583333333326,27.558562500000004,1.988875,84.42258333333334,97.14639583333336,10.115229166666667,0.0,3.905083333333333,44.0376904307505,0.9766797641384616,55.43274884303733,1.0
20140911,0.5675270740740742,-47.95060882352941,66.48135172413795,32.116091600000004,0.4939908124999999,11.902568421052631,-0.07833736842105261,353.33536842105264,382.7768421052632,-0.03295833333333409,2.076789436378884,85.11915789473683,96.80446071428571,11.453175789473686,0.0,9.492295833333337,9.49314375,9.030093749999997,8.705858333333332,2.4431064354166665,3.671314583333336,1.6842460416666667,2.9744354166666667,294.99585416666673,5.8123772916666665,1.2282012708333332,-45.71693125,59.14012916666667,43.51951458333333,27.65997916666667,1.21999,352.20502083333326,379.18729166666674,-0.03295833333333409,1.5318124999999998,84.73429166666666,96.96816666666662,9.990687499999996,1.0570000000000004,5.8123958333333325,55.76312469452879,1.0708248137460532,36.54019385321172,1.0
20140912,-0.22181000000000006,-19.044087999999995,59.055607142857134,99.9422964285715,0.4289746562499998,61.45886338297871,4.443409631914894,350.90015789473676,378.3184210526316,14.145625,1.3857291990348408,87.59131914893618,-9999,7.888833191489361,0.0,8.622914583333333,8.993237499999998,8.947664583333333,8.705987083333332,2.7429935416666664,3.206739583333332,2.175558333333333,1.876298958333334,283.5625833333333,5.091503999999999,0.4637498749999999,-23.02378291666666,48.9595625,84.56789254166667,61.747937500000006,4.34041755625,333.6084583333334,373.11708333333326,14.145625,1.3853333333333333,87.57914583333331,98.04129166666664,7.870645833333335,0.5650000000000001,5.0915,50.27759240209079,0.628179317998902,83.3411189284669,1.0
20140913,1.2256736315789474,-31.70430434782608,39.83572727272728,3.057129333333333,0.34032645,79.0359780833333,6.872630583333333,300.7033333333333,379.97,30.33010416666667,2.191623520099024,82.11577083333334,-9999,7.560362708333333,0.0,7.375714583333334,7.884293750000001,8.593252083333333,8.683814583333335,2.7683268750000014,3.081972916666666,2.1045085416666667,1.496660625,190.52350833333333,4.2369215208333335,0.3136412291666665,-22.62539791666667,44.30008333333334,32.36358395833333,81.026125,6.872630583333333,317.8112500000001,369.37354166666665,30.33010416666667,2.193645833333333,82.11577083333334,97.984,7.560416666666666,0.5240000000000001,4.236958333333333,44.15565334029184,0.8578387418133245,36.95728168513126,1.0
20140914,-0.6993822564102562,-40.4663834090909,76.41116666666669,66.57822454545455,0.6118026875,92.79246815375,5.155465020833335,311.68581250000017,366.63083333333327,24.51514583333333,3.6027741524049315,67.58691666666667,-9999,8.290431874999998,0.0,7.470060416666667,7.9121979166666625,8.264797916666666,8.579188541666666,3.468182622916665,3.114289583333333,1.9815127154166663,1.6161208333333337,281.2847708333333,8.003883333333334,-0.3538994791666665,-40.42266395833333,71.58564583333334,70.58517708333333,94.18018749999996,5.155465020833335,311.68581250000017,366.63083333333327,24.51514583333333,3.6058125000000008,67.58691666666667,98.309625,8.290458333333332,0.42100000000000015,8.00389583333333,72.71524101491788,-0.3012013738757865,53.96256191311887,1.0
20140915,-1.0191343043478265,8.336479166666669,44.52086920000001,64.30257416666667,0.26361756666666675,105.93518,4.998092166666666,296.04462500000005,361.979375,26.06408333333333,3.411980082994163,69.50933333333333,-9999,7.330045000000001,0.0,7.13586875,7.5135104166666675,8.024158333333332,8.462932083333332,2.8160730624999992,2.84101875,2.1859415416666668,1.722058333333333,261.837875,3.4648237500000008,0.02495460416666656,-11.751979791666665,38.81276520833333,55.14830416666669,107.66604166666669,4.998092166666666,296.04462500000005,361.979375,26.06408333333333,3.4148750000000003,69.50933333333333,98.68214583333337,7.3300833333333335,0.0,3.4648333333333348,47.42875070891144,0.2294457068856348,55.61934576726856,1.0
20140916,-1.0921875,8.822999999999997,16.50355,5.91015,0.08000473958333333,121.45361117291672,10.062535,284.30814583333336,356.4114583333335,43.84579166666669,2.032729298428904,81.41760416666666,-9999,5.045915289583333,0.0,5.811016666666666,6.666291666666666,7.716545833333337,8.341326874999998,2.8895308125000003,2.391122916666666,2.613666547916667,1.61472125,222.59125000000003,1.1027537020833331,-0.4983939583333333,1.1006939583333333,35.82729583333333,21.157664583333336,123.04625,10.062535,284.30814583333336,356.4114583333335,43.84579166666669,2.0343541666666667,81.41760416666666,98.41891666666665,5.0459375,0.0,1.1027083333333334,43.35208216101787,0.3986255336448724,59.650352090798854,1.0
20140917,-1.8513525,-7.356657142857142,28.107057142857148,87.20378181818182,0.30975394791666666,76.43501197916667,6.460092708333334,311.28170833333337,359.23687500000005,35.138583333333315,1.183797435712716,88.58570833333332,-9999,5.739199958333331,0.0,5.536791666666666,6.0103125,7.2414437499999975,8.191932291666665,2.5791740666666665,2.3303,2.019716041666667,1.4280508333333335,267.0919583333334,3.8954305000000016,-0.24886374999999986,-11.007475,37.05450416666668,52.10334541666666,77.73345833333333,6.460092708333334,311.28170833333337,359.23687500000005,35.138583333333315,1.1846666666666663,88.58570833333332,98.1119375,5.739208333333332,0.128,3.895458333333334,34.43995194742427,-0.006979638394180893,53.8444384025691,1.0
20140918,0.15588333333333335,0.9653699999999996,11.074767,74.89035714285714,0.1775636770833334,42.237075625,2.3575327083333337,340.99604166666666,363.6864583333333,17.453833333333332,0.90481392723724,90.60460416666668,-9999,6.406187499999999,0.0,6.835397916666667,6.763062499999998,7.0321645833333335,8.004704166666665,1.52327365,2.258177083333333,1.1016778541666663,1.0325820833333332,271.60025,2.1079466250000003,0.7349085416666666,-21.99946583333333,22.249361250000003,77.65952083333333,43.09360416666666,2.3575327083333337,340.99604166666666,363.6864583333333,17.453833333333332,0.9053958333333336,90.60460416666668,97.9554375,6.406145833333333,0.06700000000000003,2.108,25.854471550457284,1.015556586286373,51.972245900277436,1.0
20140919,-2.1100100000000004,24.25767166666667,16.441430769230777,54.61373833333332,0.09070444375000004,58.28814058333334,3.432494397916667,337.6374375,362.555625,27.12608333333333,0.9533129972816328,89.86681250000002,-9999,5.740405833333332,0.0,6.9848166666666645,7.00695,7.113012500000001,7.854112083333335,1.7532500920833332,2.0607833333333327,1.0993313333333334,0.6317710416666666,239.2045,1.1842997916666669,0.3075370833333331,-16.02876708333334,24.67772083333334,58.17752291666665,59.06020833333334,3.432494397916667,337.6374375,362.555625,27.12608333333333,0.9539583333333336,89.86681250000002,97.37677083333328,5.740375,0.222,1.184354166666667,31.361782862485647,0.7971737673821098,45.45179026942899,1.0
20140920,-9999,5.53965,23.155,48.4229,0.11415951458333333,19.916241610416666,1.4633916666666664,356.0912291666668,363.805,11.222645833333333,0.2415935751363384,97.4504375,-9999,6.0838445833333346,0.0,6.834781249999999,6.9014437499999985,7.13766458333333,7.794713333333334,0.8914217083333336,2.209333333333333,0.3995070208333333,0.2994008333333334,229.30046875000005,1.1258858333333333,1.3179078750000004,-35.4679,29.945250000000005,63.37064583333335,20.881833333333333,1.4633916666666664,356.0912291666668,363.805,11.222645833333333,0.2417708333333334,97.4504375,96.51879166666667,6.083812499999998,2.378,1.125916666666667,29.9987490684966,1.530180540785835,32.0906252627314,1.0
20140921,-0.5967807142857148,-8.800199999999998,44.78769230769231,27.265095,0.27216931250000004,40.40529937500001,3.2966199854166662,326.13016666666675,356.10708333333326,14.629104166666664,1.2621379672363238,84.16058333333334,-9999,3.7470295625,0.0,6.247356250000002,6.796579166666668,7.103960416666666,7.718626458333335,1.306182546875,2.07699375,0.4485509166666666,0.10682116666666663,238.09112499999995,3.0559270208333333,0.7708253541666669,-19.949284791666674,40.29245833333334,40.76528125,41.5903125,3.2966199854166662,326.13016666666675,356.10708333333326,14.629104166666664,1.2625416666666671,84.16058333333334,96.6229791666667,3.7470625,1.1989999999999992,3.0559375000000006,39.700944333720265,0.6303253735061772,26.58007401209273,1.0
20140922,-0.3049375,4.5385,33.869,43.58963666666667,0.2270276479166666,60.26068637500001,5.1089541104166685,269.69202083333334,340.536875,-3.04739583333333,1.6720986498940908,74.97368749999998,-9999,0.7929335833333329,0.0,4.36875,5.496812499999997,6.822333333333333,7.646236041666667,1.0337733270833334,1.8504124999999991,0.5925163749999999,0.40023916666666665,270.22102083333334,2.7999133125000006,0.8166366041666665,-4.709821458333335,45.14389583333334,21.57414583333333,62.06647916666666,5.1089541104166685,269.69202083333334,340.536875,-3.04739583333333,1.672,74.97368749999998,97.40375,0.7929583333333331,0.3410000000000001,2.7999791666666662,43.37921144438658,0.6614085005277565,34.08879944971185,1.0
20140923,0.09509875,5.298655000000001,40.15214,2.184328666666667,0.15317253125,62.506760624999984,4.0798833750000005,276.6868541666667,334.21208333333334,19.012750000000008,1.6041039924900549,75.65829166666664,-9999,-0.9396431750000006,0.0,2.27156875,3.8650229166666654,6.154739583333334,7.529517708333334,0.7796777083333329,1.7738354166666666,0.5861563125000002,0.7117277083333332,156.03149374999995,2.1888555833333334,0.994172916666667,-7.949540624999997,41.31723125,18.116825625000008,64.04858333333333,4.0798833750000005,276.6868541666667,334.21208333333334,19.012750000000008,1.6038958333333335,75.65829166666664,97.39916666666666,-0.9396874999999996,0.0,2.1888750000000003,43.54954086982442,0.7228809089807031,23.55767016214241,1.0
20140924,0.8182637777777777,15.563044117647062,53.66324,2.4773156000000003,0.3292033958333332,27.072487791666674,1.3486245833333337,312.5143750000001,338.09229166666665,6.4830625,1.4134852266632938,79.04277083333334,-9999,0.9860881579166666,0.0,2.3638541666666666,3.36695,5.3865541666666665,7.3002585416666665,1.11287325,2.13726875,0.5011570833333334,1.10317875,149.45291250000002,4.5723216875000015,1.0244082083333337,-4.2169558333333335,48.96854166666666,7.581316666666669,28.58277083333333,1.3486245833333337,312.5143750000001,338.09229166666665,6.4830625,1.4133541666666662,79.04277083333334,96.37741666666666,0.9860208333333336,0.455,4.572291666666667,48.01803793660162,1.0170682491242873,12.872205023925574,1.0
