TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,NETRAD,PPFD_IN,PPFD_OUT,VPD,RH,PA,TA,D_SNOW,TS_1,TS_2,TS_3,G_1,SWC_1,SWC_2,SWC_3,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WD,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,LW_IN_F,NETRAD_F,PPFD_IN_F,PPFD_OUT_F,VPD_F,RH_F,PA_F,TA_F,P_F,D_SNOW_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20141221,-9999,-9999,-9999,-9999,-9999,0.0030059523809523804,0.15854166666666664,0.0063125,0.0002916666666666667,0.22875604166666666,84.90416666666665,100.32083333333333,-17.824375,14.410416666666668,-10.212604166666667,-10.284895833333332,-10.350624999999997,-1.9903125,4.0500000000000025,6.25,6.199999999999995,-9999,0.07244172916666665,0.0003815960416666668,0.2961920833333333,-9999,-9999,-9999,-9999,-9999,-9999,0.0030208333333333337,207.69447916666678,0.15854166666666664,0.0063125,0.0002916666666666667,0.22887500000000005,84.90416666666665,100.29079166666662,-17.798541666666665,0.3150000000000001,14.410416666666668,2.7174791666666667,1.3154596986975655,0.1028781682459518,3.4882522861742014,3.0
20141222,-9999,-9999,-9999,-9999,-9999,0.009841269841269859,-0.4499583333333333,0.02066666666666667,0.0010208333333333339,0.22424499999999994,84.41249999999998,101.03125000000004,-18.434791666666666,15.09791666666667,-9.987500000000002,-10.1109375,-10.213645833333334,-2.271760416666667,4.0500000000000025,6.25,6.199999999999995,-9999,0.06570416666666666,0.0012228985416666664,0.2692372916666667,-9999,-9999,-9999,-9999,-9999,-9999,0.009875,197.57435416666667,-0.4499583333333333,0.02066666666666667,0.0010208333333333339,0.22427083333333334,84.41249999999998,101.00625000000004,-18.413333333333327,0.02800000000000001,15.09791666666667,3.5279583333333333,1.3270027702316032,0.09571483207498724,2.7956095856777505,3.0
20141223,-9999,-9999,-9999,-9999,-9999,0.04147817460317463,-3.346770833333332,0.08710416666666665,0.0008333333333333336,0.2026689583333333,81.86041666666667,101.68124999999996,-21.290625,17.070833333333336,-10.017083333333336,-10.132083333333332,-10.233125000000003,-2.8793750000000014,4.0500000000000025,6.247916666666666,6.199999999999995,-9999,0.0465469125,0.004941558958333333,0.18655779166666664,-9999,-9999,-9999,-9999,-9999,-9999,0.041520833333333326,176.97154166666667,-3.346770833333332,0.08710416666666665,0.0008333333333333336,0.20397916666666668,81.86041666666667,101.6833333333333,-21.127708333333327,0.0,17.070833333333336,3.004166666666668,1.1757513130352732,0.07983407531997792,2.583017192800851,3.0
20141224,-9999,-9999,-9999,-9999,-9999,0.03668650793650794,-1.2324583333333334,0.07704166666666666,0.0003125,0.2107395833333333,82.83750000000002,101.1291666666666,-20.219583333333336,16.027083333333334,-9.860208333333334,-9.956354166666667,-10.0503125,-3.07271875,4.03854166666667,6.199999999999995,6.199999999999995,-9999,0.04938664583333335,0.0043282720833333335,0.20307889583333336,-9999,-9999,-9999,-9999,-9999,-9999,0.03670833333333333,194.92924999999997,-1.2324583333333334,0.07704166666666666,0.0003125,0.2093333333333333,82.83750000000002,101.14166666666661,-20.40375,0.4060000000000002,16.027083333333334,2.5321875,1.1905827893988936,0.08321593751431164,2.845045436619781,3.0
20141225,-9999,-9999,-9999,-9999,-9999,0.03878968253968256,-1.1714791666666662,0.08145833333333334,0.0003125,0.215231875,83.32916666666667,100.96458333333338,-19.672291666666673,17.03333333333334,-9.673958333333337,-9.788541666666664,-9.893854166666667,-2.175479166666668,4.0500000000000025,6.199999999999995,6.199999999999995,-9999,0.05329312500000002,0.004528892291666667,0.2237545833333333,-9999,-9999,-9999,-9999,-9999,-9999,0.0388125,207.99845833333345,-1.1714791666666662,0.08145833333333334,0.0003125,0.2159791666666667,83.32916666666667,100.9583333333334,-19.571250000000006,1.1999999999999995,17.03333333333334,4.774208333333333,1.2245735206155477,0.08600944163407115,2.699578898173648,3.0
20141226,-9999,-9999,-9999,-9999,-9999,0.039126984126984135,-1.5878958333333328,0.08216666666666668,0.0002916666666666667,0.1869027083333333,79.9229166666667,101.80208333333336,-23.42875,17.49375,-9.50291666666667,-9.659479166666666,-9.78927083333333,-2.8205000000000005,4.0500000000000025,6.199999999999995,6.199999999999995,-9999,0.028611462500000007,0.004512160416666668,0.11099997916666676,-9999,-9999,-9999,-9999,-9999,-9999,0.03914583333333333,188.67029166666663,-1.5878958333333328,0.08216666666666668,0.0002916666666666667,0.18775,79.9229166666667,101.76875,-23.32125000000001,0.5590000000000003,17.49375,3.9022708333333354,0.9801800142145044,0.06844792425904019,2.2576776320723186,3.0
20141227,-9999,-9999,-9999,-9999,-9999,0.042192460317460316,-2.622270833333334,0.08860416666666666,0.0003333333333333333,0.12664145833333332,72.400625,103.48958333333331,-31.14124999999999,17.429166666666674,-9.3725,-9.530208333333334,-9.673125,-4.5034375,3.971874999999997,6.1614583333333375,6.163541666666667,-9999,0.0038759429166666665,0.004832144375,0.011930985625,-9999,-9999,-9999,-9999,-9999,-9999,0.04220833333333334,140.63697916666658,-2.622270833333334,0.08860416666666666,0.0003333333333333333,0.12622916666666664,72.400625,103.47916666666669,-31.193958333333324,0.001,17.429166666666674,4.609041666666667,0.4700762434817302,0.04592914445709722,2.7542462886944734,3.0
20141228,-9999,-9999,-9999,-9999,-9999,0.05285714285714289,-2.8298125,0.111,0.0008958333333333338,0.229074375,86.37708333333332,102.07500000000003,-15.655062499999996,16.316666666666666,-9.329270833333336,-9.483854166666667,-9.623541666666664,-2.8398541666666666,3.972916666666668,6.105208333333329,6.15,-9999,0.08208162499999999,0.006110480416666669,0.4069651250000001,-9999,-9999,-9999,-9999,-9999,-9999,0.052645833333333336,227.1792708333334,-2.8298125,0.111,0.0008958333333333338,0.2269375,86.37708333333332,102.10833333333336,-15.998604166666661,1.870999999999999,16.316666666666666,8.834583333333336,1.2502258041102603,0.09874688594321727,2.5870921763845565,3.0
20141229,-9999,-9999,-9999,-9999,-9999,0.07441468253968257,-5.9235000000000015,0.1562708333333333,0.001750000000000001,0.25976437500000005,88.86874999999998,102.03333333333329,-12.0045625,15.339583333333332,-9.315729166666667,-9.4328125,-9.555416666666668,-0.15747916666666678,4.056250000000001,6.197916666666662,6.15,-9999,0.11526010416666667,0.008385795833333334,0.6024272916666665,-9999,-9999,-9999,-9999,-9999,-9999,0.07393749999999998,220.4370625,-5.9235000000000015,0.1562708333333333,0.001750000000000001,0.26125000000000004,88.86874999999998,102.01874999999997,-11.731645833333333,0.006999999999999999,15.339583333333332,4.9695625,1.424747072409709,0.11306896464932452,1.6225522764517553,3.0
20141230,-9999,-9999,-9999,-9999,-9999,0.09137896825396824,-0.7061875000000001,0.1918958333333333,0.0010625000000000007,0.21397666666666676,83.91875,102.32291666666664,-19.300625,15.319148936170215,-9.162291666666668,-9.2659375,-9.384583333333332,-3.74109375,4.007291666666666,6.199999999999995,6.15,-9999,0.04872493750000001,0.0105687975,0.22494875,-9999,-9999,-9999,-9999,-9999,-9999,0.0915625,234.421375,-0.7061875000000001,0.1918958333333333,0.0010625000000000007,0.21339583333333345,83.91875,102.3333333333333,-19.390208333333327,1.6690000000000005,15.316895833333335,8.655166666666666,1.1681023215892998,0.08639939155569946,3.1485145609553133,3.0
