TIMESTAMP,NEE,H,LE,FCH4,USTAR,SW_IN,NETRAD,PPFD_IN,VPD,RH,TA,P,TS_1,G,SWC_1,GPP_NT,RECO_NT,GPP_DT,RECO_DT,WS,NEE_F,H_F,LE_F,FCH4_F,SW_IN_F,LW_IN_F,NETRAD_F,PPFD_IN_F,VPD_F,RH_F,PA_F,TA_F,P_F,G_F,WS_F,LE_F_ANNOPTLM,NEE_F_ANNOPTLM,FCH4_F_ANNOPTLM,FCH4_F_ANNOPTLM_QC
20080613,1.0490997899999996,30.7105556818182,35.00169934666667,6.146597894736843,0.2326678958333333,254.95997806887496,135.33618749999997,497.5591458333333,2.8176497941089207,82.29291666666667,10.1490625,0.6,4.703333333333333,28.408541666666665,-9999,1.3286600833333335,2.4581454968750003,1.1317644791666666,1.9078270833333333,2.8154375,1.1294888270833332,27.307417708333343,36.94624000833335,13.540670833333335,258.41675,298.8451666666665,135.33618749999997,497.5591458333333,2.8207500000000003,82.29291666666667,98.5840625,10.1490625,4.597999999999999,28.408541666666665,2.8154375,35.446094934208425,0.9808424436667932,11.950318077851625,1.0
20080614,0.9133958125,36.31428851063831,43.73863968749998,-6.901466666666668,0.2632770208333333,189.81853069647914,87.66828260869566,351.7795217391305,0.8412632434507767,92.16479166666664,7.579521739130437,0.4,4.549934782608695,26.155434782608694,-9999,1.3944262500000004,2.3001579866666666,1.009436,1.6523604166666666,2.9004375,0.9057386666666668,35.304553333333345,35.08819791666665,14.513376458333335,189.8185208333333,294.5206666666668,91.785125,362.8830833333335,0.974875,92.16479166666664,98.68820833333332,7.7237708333333375,0.010000000000000002,26.370229166666665,2.9004375,34.91521457340537,0.8773791910556366,12.522920900944726,1.0
20080615,0.37118371111111104,43.007192444444456,27.896870444444442,6.011954418604652,0.2387725625000001,131.3802631560625,62.88708333333334,250.52670833333332,0.96067641571052,87.55208333333331,1.7463124999999995,0.0,2.440625,9.5863125,32.27173333333333,1.4320146458333334,1.8561590204166665,0.909178979166667,1.1388685416666668,2.5163125000000006,0.4241430625,39.92425750000001,26.516080625,5.630454166666667,131.3802916666667,272.0773125,62.88708333333334,250.52670833333332,0.9609375,87.55208333333331,99.59604166666666,1.7463124999999995,0.0,9.5863125,2.5163125000000006,26.41256772947636,0.4243855667788518,6.650166512389344,1.0
20080616,0.8746978644444445,34.050870425531905,53.1540596,13.18590842619047,0.3125415319148936,240.46326754208332,130.62164583333336,461.41362500000014,5.039321565556266,66.89916666666664,9.577291666666666,0.0,4.2353958333333335,26.39816666666667,31.3725625,1.5893820833333332,2.490862123541667,1.1701810833333337,1.7612995833333331,3.3029583333333337,0.9014834145833334,33.191016874999995,50.20755795833333,13.13542528958333,240.4632083333333,303.71664583333364,130.62164583333336,461.41362500000014,5.0446875,66.89916666666664,99.64275,9.577291666666666,0.29300000000000004,26.39816666666667,3.3029583333333337,49.95976589751334,0.9002338137264344,13.411724442964644,1.0
20080617,0.3452707037037038,8.651138409090915,40.57534444444444,22.473671428571436,0.2370663124999999,125.9622697404583,58.16047916666667,241.18141666666665,1.0937134008311211,93.275,11.830625,1.4,5.962083333333335,30.59708333333334,32.42779166666666,1.8123941666666663,2.6951718406250005,0.8530616458333334,1.9072729166666669,2.513604166666667,0.8827814375000002,6.390772708333336,27.12190729166667,19.998044375000006,125.96222916666666,350.1678958333335,58.16047916666667,241.18141666666665,1.0948125,93.275,98.967375,11.830625,5.468999999999999,30.59708333333334,2.513604166666667,24.04398486912406,0.9511715182155857,20.48187726358632,1.0
20080618,0.23492366666666664,68.62505104347827,63.02401533333334,21.309047069767445,0.2313263617021277,252.5565899154583,132.54285416666667,482.92893750000013,3.9539022518029787,79.12979166666666,11.7545625,0.2,7.646604166666667,39.748125,33.714937500000005,2.2404872916666667,2.7146210525,1.3005204375,1.8675979166666663,2.348583333333333,0.4741346041666667,65.00367391666667,57.67170845833334,20.397979666666675,252.55658333333332,319.51468749999987,132.54285416666667,482.92893750000013,3.9580208333333333,79.12979166666666,99.65549999999996,11.7545625,0.30400000000000016,39.748125,2.348583333333333,57.764046095049885,0.4948581608987803,20.768846693566033,1.0
20080619,0.8886009333333333,66.15809495652172,86.59193911111109,27.53858975609755,0.3998776666666668,299.0348684167917,164.36937499999996,580.3712083333334,8.019491328120147,60.85479166666668,14.889729166666667,0.0,7.607625,33.127187500000005,31.897,2.0777183750000003,2.9878658914583327,1.4702500833333334,2.2319875,4.219270833333333,0.9101487916666668,63.02312433333332,81.40959291666667,25.877870416666664,302.0346875,318.8855208333333,164.36937499999996,580.3712083333334,8.027458333333337,60.85479166666668,99.74091666666664,14.889729166666667,1.334,33.127187500000005,4.219270833333333,81.31881414839022,0.9306173435222664,25.77971963068895,1.0
20080620,1.4310050555555556,16.796472826086948,80.9523683888889,2.4870773684210534,0.3082121875,177.7863377140834,89.57204166666668,338.0803125000001,5.45920806470593,77.76916666666666,17.027291666666667,2.4,8.988125000000002,40.1,32.641625000000005,1.5340418145833328,3.1866118570833333,1.297269166666667,2.782575,3.6522916666666654,1.652566291666666,15.072848958333326,63.38857629166668,13.352972500000002,177.78633333333335,344.91595833333344,89.57204166666668,338.0803125000001,5.4636875,77.76916666666666,98.6835416666667,17.027291666666667,3.8049999999999993,40.1,3.6522916666666654,61.280266057814025,1.5517593301834811,12.401635881117388,1.0
20080621,-0.009793500000000184,42.83858695652172,55.457090625,-9999,0.3712622083333334,157.6998903560417,85.31572916666666,294.52375,0.4141063656630379,97.47083333333336,9.52577083333333,1.0,8.073749999999999,24.40933333333333,32.46833333333333,2.3027092916666665,2.6141412016666665,1.4396997083333336,2.2053354166666668,3.8618541666666664,0.3114314166666667,40.25647916666666,46.98185833333334,20.41574583333333,154.4306875,337.38043750000014,85.31572916666666,294.52375,0.4145416666666666,97.47083333333336,99.0396458333333,9.52577083333333,2.7989999999999995,24.40933333333333,3.8618541666666664,46.2624115694404,0.2894363328921659,14.745601107311462,1.0
20080622,-0.30005706458333337,115.57781791666667,67.11739937499999,50.315480625,0.2805610625,277.4943421025417,158.57366666666667,537.4026875000002,2.9791966106705363,73.06479166666666,5.0761666666666665,0.0,6.317187499999998,26.58466666666667,31.47222916666667,2.5705852083333336,2.2705244189583333,1.9405199375000004,1.8062979166666668,2.957875,-0.30005706458333337,115.57781791666667,67.11739937499999,32.04021729166667,277.5240625,245.23556249999993,158.57366666666667,537.4026875000002,2.9817708333333344,73.06479166666666,100.11458333333336,5.0761666666666665,0.0,26.58466666666667,2.957875,67.11739937499999,-0.30005706458333337,28.36046562639239,1.0
